cusip,price,coupon,maturity,ytm,sector,rating,state,lastTraded,ed,md,ytw
01728RLF4,117.542,5,3/1/25,7,Higher Ed-Private,A,PA,4/28/17,6.151,6.033,2.322
01728RLH0,97.486,2.25,3/1/27,9,Higher Ed-Private,A,PA,4/13/16,8.243,8.134,2.56
01728RLL1,99.494,3,3/1/30,12,Higher Ed-Private,A,PA,4/20/16,9.817,10.004,3.05
01728RLM9,107.623,4,3/1/31,13,Higher Ed-Private,A,PA,4/20/17,8.678,6.89,2.941
01728RLQ0,117.826,5,3/1/27,9,Higher Ed-Private,A,PA,5/1/17,6.895,6.731,2.561
01728RLR8,107.923,4,3/1/30,12,Higher Ed-Private,A,PA,7/29/16,8.245,6.893,2.901
01728RMP1,123.024,5,8/1/29,11,Higher Ed-Private,AA,PA,8/11/17,7.982,7.705,2.303
01728VSA9,100.496,2,11/1/18,0,Local GO,A+,PA,6/23/16,0.806,0.803,1.384
01728VSB7,102.593,3,11/1/19,1,Local GO,A+,PA,6/23/16,1.767,1.757,1.544
01728VSC5,103.187,3,11/1/20,2,Local GO,A+,PA,6/23/16,2.7,2.683,1.832
01728VSF8,116.133,5,11/1/23,5,Local GO,A+,PA,6/23/16,5.139,5.085,2.042
01728VSK7,120.529,5,11/1/27,9,Local GO,A+,PA,6/5/17,7.401,7.259,2.401
01728VSL5,119.914,5,11/1/28,10,Local GO,A+,PA,9/14/17,7.424,7.252,2.471
01728VSQ4,107.928,4,11/1/32,14,Local GO,A+,PA,8/2/17,9.525,7.412,2.971
01728VTH3,116.132,5,11/1/41,23,Local GO,A+,PA,3/10/17,9.05,7.207,2.911
017343DK7,110.361,5.25,3/1/21,3,Dedicated Tax,AA-,PA,9/13/17,2.93,2.879,1.845
017357YW8,114.914,5,12/1/26,8,Water & Sewer,A,PA,12/28/16,5.207,5.156,2.282
017357ZH0,102.214,4,12/1/18,0,Water & Sewer,A,PA,11/14/17,0.885,0.881,1.505
017357ZJ6,104.148,4,12/1/19,1,Water & Sewer,A,PA,12/20/17,1.833,1.824,1.766
017357ZK3,103.222,3,12/1/20,2,Water & Sewer,A,PA,10/31/16,2.776,2.765,1.852
017357ZV9,103.688,2.625,12/1/25,7,Water & Sewer,A,PA,2/23/16,7.169,7.106,2.115
02765UEY6,103.76,5,2/15/19,1,Electric Revs,A,OH,4/11/17,1.08,1.059,1.547
02765UFE9,113.133,5,2/15/25,7,PRE/ETM,A,OH,11/18/16,3.758,3.689,1.674
02765UFZ2,115.955,5,2/15/26,8,Electric Revs,A,OH,12/6/17,5.361,5.252,2.192
02765UJX3,118.087,5,2/15/25,7,Electric Revs,A,OH,2/3/17,6.123,5.996,2.232
02765UKA1,118.221,5,2/15/28,10,Electric Revs,A,OH,11/15/17,6.899,6.692,2.501
02765UKK9,114.745,5,2/15/41,23,Electric Revs,A,OH,5/24/16,8.676,6.653,2.941
02765UKQ6,114.203,5,2/15/46,28,Electric Revs,A,OH,3/7/17,9.346,6.647,3.011
02765UKY9,115.831,5,2/15/24,6,Electric Revs,A,OH,5/5/17,5.357,5.251,2.212
02765UKZ6,117.371,5,2/15/25,7,Electric Revs,A,OH,1/4/17,6.117,5.989,2.332
02765ULA0,118.704,5,2/15/26,8,Electric Revs,A,OH,7/14/16,6.85,6.697,2.441
02765ULB8,117.66,5,2/15/27,9,Electric Revs,A,OH,12/29/17,6.861,6.686,2.571
02765ULM4,113.434,5,2/15/46,28,Electric Revs,A,OH,10/12/17,9.352,6.638,3.111
02765ULQ5,104.422,4,2/15/20,2,Electric Revs,A,OH,5/4/17,2.023,1.991,1.846
02765ULT9,114.363,5,2/15/23,5,Electric Revs,A,OH,6/12/17,4.572,4.485,2.023
02765ULU6,116.141,5,2/15/24,6,Electric Revs,A,OH,5/12/17,5.36,5.254,2.162
02765ULY8,117.82,5,2/15/28,10,Electric Revs,A,OH,2/10/17,6.917,6.688,2.551
02765UMA9,107.437,4,2/15/30,12,Electric Revs,A,OH,11/16/16,8.215,6.844,2.961
02765UMH4,114.357,5,2/15/41,23,Electric Revs,A,OH,5/22/17,8.744,6.649,2.991
02765UMJ0,113.818,5,2/15/46,28,Electric Revs,A,OH,9/15/17,9.362,6.642,3.061
031321KD3,102.706,3,6/15/31,13,Local GO,,NY,1/2/18,10.441,8.182,2.674
032556AJ1,112.091,5,10/1/24,6,Water & Sewer,AAA,CA,9/28/16,3.444,3.4,1.644
032556AL6,111.937,5,10/1/26,8,Water & Sewer,AAA,CA,9/28/16,3.444,3.399,1.684
032556AM4,111.86,5,10/1/27,9,Water & Sewer,AAA,CA,9/28/16,3.443,3.399,1.704
032556AN2,111.783,5,10/1/28,10,Water & Sewer,AAA,CA,9/28/16,3.443,3.398,1.724
032556AP7,111.706,5,10/1/29,11,Water & Sewer,AAA,CA,9/28/16,3.445,3.398,1.745
032556BK7,111.745,5,10/1/27,9,Electric Revs,A1,CA,5/9/17,3.443,3.398,1.734
032556BL5,111.668,5,10/1/28,10,Electric Revs,A1,CA,10/10/17,3.443,3.398,1.754
032556BM3,111.591,5,10/1/29,11,Electric Revs,A1,CA,10/4/16,3.444,3.397,1.774
032556DA7,115.24,5,10/1/27,9,Electric Revs,A1,CA,12/13/17,4.679,4.616,1.923
032556DB5,114.971,5,10/1/28,10,Electric Revs,A1,CA,12/13/17,4.688,4.614,1.973
035555PL9,104.437,3,7/1/21,3,Water & Sewer,AA,MI,8/8/17,3.31,3.305,1.682
035555PY1,99.309,2,7/1/25,7,Water & Sewer,AA,MI,7/6/16,6.949,6.908,2.1
035555PZ8,98.216,2,7/1/26,8,Water & Sewer,AA,MI,6/30/16,7.807,7.746,2.232
03588E5B5,105.224,4,4/1/20,2,Local GO,AA+,MD,12/12/17,2.143,2.121,1.605
03588E5K5,110.41,5,4/1/28,10,Local GO,AA+,MD,10/25/16,3.013,2.975,1.675
03588HFJ0,113.396,5,4/1/22,4,Local GO,AA+,MD,12/6/17,3.865,3.815,1.704
03667PFE7,121.533,5.25,8/1/42,24,Local GO,AA,CA,3/17/17,8.734,7.284,2.571
03672YAF3,117.043,5,6/1/23,5,Water & Sewer,AA-,CA,3/16/17,4.82,4.79,1.683
03672YAG1,119.504,5,6/1/24,6,Water & Sewer,AA-,CA,9/12/17,5.607,5.567,1.762
03672YAH9,121.821,5,6/1/25,7,Water & Sewer,AA-,CA,1/23/17,6.37,6.315,1.832
03672YAJ5,123.59,5,6/1/26,8,Water & Sewer,AA-,CA,5/31/17,7.105,7.033,1.942
03672YAK2,122.894,5,6/1/27,9,Water & Sewer,AA-,CA,6/20/17,7.107,7.026,2.022
03672YAL0,122.117,5,6/1/28,10,Water & Sewer,AA-,CA,7/28/16,7.13,7.018,2.112
037591NB6,101.046,2,6/1/21,3,Local GO,AAA,NC,2/25/16,3.278,3.268,1.682
037591QB3,100.35,2,2/1/25,7,State GO,AAA,NC,5/2/16,6.59,6.504,1.947
0386815T5,102.727,3,12/15/19,1,Local GO,AA,CO,1/26/16,1.882,1.878,1.564
0386815V0,105.351,3,12/15/21,3,Local GO,AA,CO,10/25/16,3.723,3.712,1.592
039861LG2,103.14,2.25,8/15/23,5,Local GO,AA,NY,1/27/16,5.27,5.213,1.661
040484CY1,101.403,5,6/1/18,0,Higher Ed-Public,AA-/A+,AZ,5/17/16,0.396,0.394,1.44
040484HS9,101.403,5,6/1/18,0,Higher Ed-Public,AA-/A+,AZ,5/26/16,0.396,0.394,1.44
040484LH8,102.208,3,8/1/19,1,Higher Ed-Public,AA-/A+,AZ,5/8/17,1.529,1.509,1.565
040484QU4,117.905,5,6/1/42,24,Higher Ed-Public,AA-/A+,AZ,12/1/17,8.514,6.973,2.611
04048RFD3,110.798,5,8/1/22,4,Higher Ed-Public,,AZ,8/18/17,3.298,3.23,1.855
04048RGR1,113.238,5,7/1/27,9,Higher Ed-Public,,AZ,11/18/16,4.068,4.057,1.904
04048RJF4,103.31,3,7/1/20,2,Higher Ed-Public,,AZ,2/9/17,2.392,2.39,1.633
04048RLR5,116.43,5,7/1/41,23,Higher Ed-Public,,AZ,12/29/16,7.726,6.345,2.571
04048RQA7,122.059,5,7/1/28,10,Higher Ed-Public,,AZ,11/15/17,7.186,7.097,2.142
04048RQC3,121.111,5,7/1/30,12,Higher Ed-Public,,AZ,9/21/17,7.295,7.088,2.251
04048RQM1,117.567,5,7/1/47,29,Higher Ed-Public,,AZ,8/29/17,9.182,7.05,2.671
04048RQN9,118.064,5,7/1/42,24,Higher Ed-Public,,AZ,10/25/17,8.672,7.055,2.611
04048RQY5,122.668,5,7/1/27,9,Higher Ed-Public,,AZ,12/22/16,7.17,7.104,2.072
04048RQZ2,122.059,5,7/1/28,10,Higher Ed-Public,,AZ,8/31/16,7.186,7.097,2.142
04048RSP2,121.196,5,7/1/25,7,Higher Ed-Public,,AZ,12/6/17,6.426,6.39,1.942
04048RSQ0,122.581,5,7/1/26,8,Higher Ed-Public,,AZ,12/6/17,7.154,7.103,2.082
04048RST4,122.964,5,7/1/29,11,Higher Ed-Public,,AZ,12/6/17,7.926,7.779,2.291
04048RSZ0,120.226,5,7/1/35,17,Higher Ed-Public,,AZ,12/6/17,8.684,7.746,2.581
04048RTC0,118.563,5,7/1/42,24,Higher Ed-Public,,AZ,12/6/17,9.457,7.726,2.761
040507PC3,113.854,5,12/1/22,4,Health Care,A,AZ,2/23/17,4.406,4.378,2.015
040507PG4,117.045,5,12/1/26,8,Health Care,A,AZ,12/27/17,5.979,5.913,2.312
04057PJV1,102.123,2.35,9/1/22,4,Lease Appropriation,A+,AZ,1/27/16,4.399,4.357,1.871
040649LU7,118.937,5,7/1/25,7,Sales Tax,AA+,AZ,8/29/17,5.666,5.643,1.882
040688MQ3,119.9,5,10/1/24,6,Other Rev,AAA,AZ,7/8/16,5.862,5.776,1.842
041431JP3,102.27,3,8/1/19,1,Local GO,AAA,VA,4/10/17,1.529,1.509,1.525
041431QD2,117.43,5,8/15/23,5,Local GO,AAA,VA,3/30/17,4.983,4.89,1.723
041431RS8,117.43,5,8/15/23,5,Local GO,AAA,VA,9/25/17,4.983,4.89,1.723
041609ZF8,108.008,4,7/15/21,3,Local GO,AA+,MA,10/11/17,3.303,3.242,1.649
043229DY6,102.277,4,12/1/18,0,Dedicated Tax,AAA,CO,4/12/16,0.885,0.881,1.435
044037BL2,101.094,3,10/1/31,13,Other Rev,AA,NC,12/5/17,10.832,8.333,2.87
047061CQ7,117.802,5,1/1/24,6,Water & Sewer,AA,GA,3/2/17,5.277,5.259,1.843
047061CS3,120.596,5,1/1/26,8,Water & Sewer,AA,GA,10/12/17,6.054,6.024,1.842
04780MMJ5,106.543,5,1/1/20,2,Airport Rev,AA-,GA,12/12/17,1.898,1.896,1.629
04780MRG6,112.755,5,1/1/24,6,Airport Rev,AA-,GA,8/8/17,3.655,3.647,1.674
04780MRJ0,112.714,5,1/1/26,8,Airport Rev,AA-,GA,6/2/17,3.654,3.647,1.684
04780NLB1,119.735,5,7/1/25,7,Higher Ed-Public,A,GA,11/15/17,6.412,6.376,2.132
04780NLC9,121.455,5,7/1/26,8,Higher Ed-Public,A,GA,11/14/17,7.142,7.091,2.211
04780NLD7,122.202,5,7/1/27,9,Higher Ed-Public,A,GA,10/3/17,7.838,7.77,2.371
04780NLE5,122.678,5,7/1/28,10,Higher Ed-Public,A,GA,8/17/17,7.884,7.776,2.321
04780NLF2,121.35,5,7/1/29,11,Higher Ed-Public,A,GA,8/17/17,7.923,7.76,2.461
04780TCN2,117.493,5,1/1/24,6,Airport Rev,AA-,GA,8/29/17,5.275,5.257,1.892
04780TCP7,117.308,5,1/1/25,7,Airport Rev,AA-,GA,10/20/17,5.274,5.255,1.922
04780TCQ5,117.061,5,1/1/26,8,Airport Rev,AA-,GA,10/30/17,5.274,5.253,1.963
04780TCR3,117,5,1/1/27,9,Airport Rev,AA-,GA,4/11/17,5.276,5.253,1.972
04780TCT9,116.982,5,1/1/29,11,Airport Rev,AA-,GA,12/21/17,5.292,5.253,1.975
047870AY6,103.257,5.5,11/1/18,0,Water & Sewer,AA-,GA,12/6/17,0.803,0.795,1.457
047870LT5,111.999,5,11/1/21,3,Water & Sewer,AA-,GA,12/27/16,3.514,3.481,1.734
047870LW8,119.425,5,11/1/24,6,Water & Sewer,AA-,GA,4/13/17,5.92,5.853,1.942
047870MS6,119.425,5,11/1/24,6,Water & Sewer,AA-,GA,7/5/17,5.92,5.853,1.942
047870MX5,118.434,5,11/1/29,11,Water & Sewer,AA-,GA,5/19/17,6.401,6.203,2.252
047870NE6,116.166,5,11/1/40,22,Water & Sewer,AA-,GA,10/31/17,7.464,6.181,2.562
047870NF3,115.805,5,11/1/43,25,Water & Sewer,AA-,GA,8/1/17,7.814,6.178,2.611
047870NP1,119.425,5,11/1/24,6,Water & Sewer,AA-,GA,4/26/17,5.92,5.853,1.942
047870NR7,123.287,5,11/1/29,11,Water & Sewer,AA-,GA,11/3/17,8.153,7.948,2.331
050589JS0,113.226,5,6/1/23,5,Higher Ed-Public,AA,AL,12/28/16,4,3.976,1.854
050589MZ0,101.96,3,6/1/19,1,Higher Ed-Public,AA,AL,8/3/16,1.369,1.365,1.576
050589ND8,116.203,5,6/1/23,5,Higher Ed-Public,AA,AL,12/22/16,4.815,4.784,1.833
050589NG1,114.299,4,6/1/26,8,Higher Ed-Public,,AL,12/29/17,7.278,7.205,2.131
050589NT3,117.575,5,6/1/38,20,Higher Ed-Public,AA,AL,6/14/17,8.273,6.969,2.651
050589NV8,96.122,1.5,6/1/23,5,Higher Ed-Public,AA,AL,8/3/16,5.156,5.134,2.267
052398ES9,121.678,5,11/15/26,8,Airport Rev,A+,TX,9/29/17,7.405,7.309,2.281
052398ET7,120.788,5,11/15/27,9,Airport Rev,A+,TX,6/28/17,7.43,7.299,2.381
052398EU4,120.169,5,11/15/28,10,Airport Rev,A+,TX,1/13/17,7.453,7.292,2.451
052398EV2,119.642,5,11/15/29,11,Airport Rev,A+,TX,7/14/17,7.531,7.286,2.511
052398FD1,116.79,5,11/15/41,23,Airport Rev,A+,TX,4/12/17,9.02,7.253,2.841
052398FE9,116.195,5,11/15/46,28,Airport Rev,A+,TX,7/7/17,9.718,7.246,2.911
052414LV9,108.84,5,11/15/28,10,Electric Revs,AA-,TX,1/19/16,2.681,2.661,1.806
052430LP8,121.18,5,8/1/25,7,Local GO,AA+,TX,3/31/17,6.486,6.341,1.972
0524762J6,119.671,5,11/15/24,6,Water & Sewer,AA,TX,8/2/17,5.951,5.893,1.922
0524762M9,102.886,2.5,11/15/26,8,Water & Sewer,AA,TX,8/2/17,7.991,7.899,2.14
0524762N7,124.066,5,11/15/27,9,Water & Sewer,AA,TX,8/2/17,8.112,7.995,2.261
0524762Z0,119.006,5,11/15/42,24,Water & Sewer,AA,TX,10/10/17,9.586,7.931,2.781
052476U97,117.904,5,11/15/41,23,Water & Sewer,AA,TX,5/11/16,8.899,7.266,2.711
052476XY9,111.643,5,11/15/28,10,Water & Sewer,AA,TX,9/27/16,3.546,3.516,1.854
05620PHY2,101.28,2,6/1/23,5,Local GO,AA+,NY,6/30/17,5.112,5.09,1.75
05620PJA2,99.154,2,6/1/25,7,Local GO,AA+,NY,7/8/16,6.875,6.824,2.124
05620PJB0,97.705,2,6/1/26,8,Local GO,AA+,NY,7/8/16,7.732,7.658,2.302
05620PJC8,93.753,2,6/1/27,9,Local GO,AA+,NY,9/27/16,8.545,8.446,2.759
05620PJF1,92.473,2.125,6/1/30,12,Local GO,AA+,NY,8/12/16,10.868,10.714,2.85
05620PJQ7,101.561,2,6/1/22,4,Local GO,AA+,NY,7/8/16,4.205,4.191,1.631
05620PJT1,99.154,2,6/1/25,7,Local GO,AA+,NY,7/8/16,6.875,6.824,2.124
05620PKU6,102.178,2.375,12/1/27,9,Local GO,,NY,1/3/18,8.471,7.165,2.074
058508GM8,117.935,5,7/1/24,6,Higher Ed-Public,AA-,IN,1/11/17,5.658,5.635,2.032
058508GN6,119.812,5,7/1/25,7,Higher Ed-Public,AA-,IN,1/11/17,6.413,6.377,2.122
058508GP1,121.197,5,7/1/26,8,Higher Ed-Public,AA-,IN,7/11/17,7.14,7.088,2.241
058508GQ9,122.392,5,7/1/27,9,Higher Ed-Public,AA-,IN,1/11/17,7.84,7.772,2.351
058508GR7,121.445,5,7/1/28,10,Higher Ed-Public,AA-,IN,5/2/17,7.876,7.761,2.451
058508HA3,102.562,2.5,7/1/22,4,Higher Ed-Public,AA-,IN,1/11/17,4.237,4.228,1.901
05914FM31,128.02,5,11/1/28,10,Local GO,AA+,MD,11/6/17,8.792,8.645,2.091
05914FSA9,118.604,5,2/1/24,6,Local GO,AA+,MD,11/21/16,5.347,5.237,1.752
05914FTZ3,101.634,4,9/1/18,0,Local GO,AA+,MD,11/2/17,0.642,0.633,1.452
05914FUL2,101.952,4.5,9/1/18,0,Local GO,AA+,MD,5/10/17,0.642,0.632,1.456
05914FXB1,119.848,5,8/1/24,6,Local GO,AA+,MD,7/27/17,5.736,5.615,1.782
05914FXH8,101.983,5,8/1/18,0,Local GO,AA+,MD,12/12/17,0.56,0.548,1.454
05914FZY9,100.827,2,2/1/20,2,Local GO,AA+,MD,8/25/17,2.017,1.999,1.591
05914FZZ6,101.039,2,2/1/21,3,Local GO,AA+,MD,2/24/16,2.965,2.938,1.651
05922KSD2,103.262,3,7/1/20,2,Water & Sewer,AA/AA-,MD,8/29/17,2.392,2.389,1.652
05922KTB5,105.626,4,7/1/20,2,Water & Sewer,AA/AA-,MD,11/2/17,2.371,2.368,1.675
05922KUH0,117.678,5,7/1/24,6,Water & Sewer,AA/AA-,MD,6/20/17,5.276,5.258,1.863
05922KVR7,103.351,4,7/1/19,1,Water & Sewer,AA/AA-,MD,2/3/17,1.442,1.44,1.698
05922KVU0,113.653,5,7/1/22,4,Water & Sewer,AA/AA-,MD,12/5/17,4.069,4.06,1.813
05922KWM7,103.499,4,7/1/19,1,Water & Sewer,AA/AA-,MD,4/26/17,1.442,1.44,1.599
05922KYE3,118.268,5,7/1/24,6,Water & Sewer,AA/AA-,MD,2/16/17,5.66,5.637,1.982
05922KYF0,120.041,5,7/1/25,7,Water & Sewer,AA/AA-,MD,1/27/17,6.415,6.379,2.092
05922KYG8,122.146,5,7/1/26,8,Water & Sewer,AA/AA-,MD,4/4/17,7.149,7.098,2.132
05922KYH6,122.6,5,7/1/27,9,Water & Sewer,AA/AA-,MD,1/27/17,7.509,7.442,2.211
05922KYJ2,121.782,5,7/1/28,10,Water & Sewer,AA/AA-,MD,3/20/17,7.541,7.433,2.301
05922KYK9,120.97,5,7/1/29,11,Water & Sewer,AA/AA-,MD,1/27/17,7.598,7.424,2.391
05922KYP8,119.012,5,7/1/33,15,Water & Sewer,AA/AA-,MD,5/3/17,8.119,7.402,2.611
05922KYT0,117.265,5,7/1/41,23,Water & Sewer,AA/AA-,MD,7/24/17,8.899,7.382,2.811
059231D80,113.801,4,7/1/27,9,Water & Sewer,AA/AA-,MD,2/16/17,7.775,7.641,2.291
059231D98,121.782,5,7/1/28,10,Water & Sewer,AA/AA-,MD,1/27/17,7.541,7.433,2.301
5.92E+26,120.97,5,7/1/29,11,Water & Sewer,AA/AA-,MD,6/6/17,7.598,7.424,2.391
059231H60,103.433,3,7/1/20,2,Water & Sewer,AA/AA-,MD,12/13/17,2.393,2.39,1.583
059231H78,104.291,3,7/1/21,3,Water & Sewer,AA/AA-,MD,1/27/17,3.31,3.304,1.724
059231XV7,116.024,5,7/1/23,5,Water & Sewer,AA/AA-,MD,12/16/16,4.902,4.886,1.919
068167A21,98.578,2,2/15/27,9,Local GO,,MA,10/10/17,8.294,8.205,2.173
07133AGN6,117.752,5,11/1/25,7,Other Rev,AA+,NY,7/21/17,5.15,5.097,1.773
072024RH7,100.701,2,4/1/19,1,Toll Roads,AA-,CA,2/18/16,1.214,1.207,1.423
072024RN4,113.703,5,4/1/24,6,Toll Roads,AA-,CA,6/26/17,3.867,3.817,1.634
072024RP9,113.615,5,4/1/25,7,Toll Roads,AA-,CA,11/17/17,3.866,3.816,1.654
072024RQ7,113.527,5,4/1/26,8,Toll Roads,AA-,CA,8/16/17,3.866,3.816,1.674
072024RS3,113.352,5,4/1/28,10,Toll Roads,AA-,CA,5/18/17,3.866,3.815,1.714
072024SC7,113.79,5,4/1/23,5,Toll Roads,AA-,CA,8/4/17,3.867,3.818,1.614
072024SD5,113.44,5,4/1/27,9,Toll Roads,AA-,CA,8/21/17,3.865,3.815,1.694
072024UY6,121.586,5,4/1/25,7,Toll Roads,AA-,CA,8/2/17,6.246,6.152,1.802
072024UZ3,123.585,5,4/1/26,8,Toll Roads,AA-,CA,8/2/17,6.988,6.872,1.892
072024VA7,125.538,5,4/1/27,9,Toll Roads,AA-,CA,12/15/17,7.706,7.568,1.961
072024VC3,113.066,4,4/1/29,11,Toll Roads,AA-,CA,8/4/17,8.218,7.743,2.412
072024VD1,112.111,4,4/1/30,12,Toll Roads,AA-,CA,9/15/17,8.555,7.732,2.521
072024VL3,100.872,3.25,4/1/36,18,Toll Roads,AA-,CA,9/26/17,12.408,7.863,3.14
072024VM1,108.929,4,4/1/37,19,Toll Roads,AA-,CA,8/23/17,10.736,7.693,2.891
072031BB2,116.757,5,10/1/23,5,Water & Sewer,AA-,CA,4/17/17,4.688,4.627,1.643
074437EY6,120.636,5.25,8/1/44,26,Local GO,A+,CA,11/10/17,9.114,7.273,2.671
080401MF6,105.38,4,4/15/20,2,Local GO,AAA,MA,7/11/17,2.179,2.159,1.577
081005KC3,121.513,5,3/1/26,8,Local GO,,MO,9/8/17,6.908,6.77,2.112
081005KD1,123.07,5,3/1/27,9,Local GO,,MO,9/8/17,7.622,7.459,2.201
081005KE9,124.399,5,3/1/28,10,Local GO,,MO,9/8/17,8.311,8.122,2.291
081005KF6,128.335,5.5,3/1/29,11,Local GO,,MO,9/8/17,7.556,7.372,2.082
081005KG4,127.761,5.5,3/1/30,12,Local GO,,MO,9/8/17,7.584,7.365,2.142
081005KH2,127.095,5.5,3/1/31,13,Local GO,,MO,9/8/17,7.606,7.357,2.212
081005KN9,124.563,5.5,3/1/36,18,Local GO,,MO,11/7/17,8.059,7.327,2.481
081005KP4,124.378,5.5,3/1/37,19,Local GO,,MO,9/8/17,8.105,7.325,2.501
082023NP3,101.2,2,8/1/20,2,Local GO,AA-,CA,9/21/16,2.494,2.472,1.521
082023NT5,107.906,3,8/1/24,6,Local GO,AA-,CA,9/21/16,6.002,5.91,1.721
082023NU2,115.405,4,8/1/25,7,Local GO,AA-,CA,10/25/17,6.655,6.523,1.811
082023NY4,102.977,3,8/1/29,11,Local GO,AA-,CA,9/21/16,9.22,7.44,2.61
083763HH8,101.012,2,12/1/20,2,Local GO,AA+,NJ,6/14/16,2.809,2.801,1.641
083763NP3,101.21,3,10/15/18,0,Local GO,AA+,NJ,7/6/17,0.762,0.757,1.412
083763PL0,100.873,2,6/1/20,2,Local GO,AA+,NJ,6/17/16,2.335,2.33,1.627
083763QG0,98.847,2,2/15/27,9,Local GO,AA+,NJ,6/19/17,8.347,8.208,2.14
083763QJ4,103.139,3,2/15/29,11,Local GO,AA+,NJ,6/6/17,9.096,7.859,2.61
083774GU7,100.052,2,2/15/18,0,Other Rev,AA+,NJ,10/16/17,0.103,0.102,1.482
083774GZ6,115.201,5,2/15/23,5,Local GO,AA+,NJ,11/8/16,4.577,4.491,1.863
083774KR9,103.443,3,8/15/20,2,Other Rev,AA+,NJ,9/18/17,2.506,2.476,1.643
083774KS7,104.41,3,8/15/21,3,Local GO,AA+,NJ,12/14/17,3.421,3.378,1.732
083778KM1,101.073,2,9/15/22,4,Local GO,AA+,NJ,8/9/17,4.466,4.432,1.76
085311PF9,111.11,4,7/15/24,6,Local GO,AAA,NJ,12/21/16,5.005,4.907,1.872
085383DR5,102.25,2.25,8/15/25,7,Local GO,AAA,NJ,8/11/17,7.011,6.911,1.93
087059MG3,100.068,2,8/1/21,3,Local GO,AA,PA,5/18/16,3.429,3.394,1.98
087059MR9,107.889,4,8/1/30,12,Local GO,AA,PA,10/3/17,8.52,7.168,2.951
087059MT5,107.185,4,8/1/32,14,Local GO,AA,PA,4/17/17,9.433,7.159,3.04
088023LF1,102.41,3,8/1/19,1,Local GO,AA+,CA,2/10/17,1.529,1.51,1.436
088023LH7,105,3,8/1/21,3,Local GO,AA+,CA,10/16/17,3.388,3.344,1.552
088023LJ3,101.751,2,8/1/22,4,Local GO,AA+,CA,2/10/17,4.358,4.315,1.601
